=== 20220319 10:26 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
18:53 | 20220319/f_58 | 2048 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (59 / 144)	 Chunks: 13
22:52 | 20220319/f_59 | 2048 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (60 / 144)	 Chunks: 9
00:01 | 20220319/f_60 | 2048 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (61 / 144)	 Chunks: 23
04:00 | 20220319/f_61 | 2048 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (62 / 144)	 Chunks: 7
05:12 | 20220319/f_62 | 2048 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (63 / 144)	 Chunks: 12
09:18 | 20220319/f_63 | 2048 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (64 / 144)	 Chunks: 4
09:50 | 20220319/f_64 | 2048 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (65 / 144)	 Chunks: 16
12:41 | 20220319/f_65 | 2048 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (66 / 144)	 Chunks: 8
14:09 | 20220319/f_66 | 2048 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (67 / 144)	 Chunks: 15
19:33 | 20220319/f_67 | 2048 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (68 / 144)	 Chunks: 5
20:20 | 20220319/f_68 | 2048 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (69 / 144)	 Chunks: 13
22:53 | 20220319/f_69 | 2048 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (70 / 144)	 Chunks: 4
23:41 | 20220319/f_70 | 2048 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (71 / 144)	 Chunks: 18
06:01 | 20220319/f_71 | 2048 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (72 / 144)	 Chunks: 5
06:40 | 20220319/f_72 | 2048 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (73 / 144)	 Chunks: 6
