=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
10:43 | 20220712/f_82 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (83 / 288)	 Replicas: 128000
10:54 | 20220712/f_83 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (84 / 288)	 Replicas: 1024000
12:05 | 20220712/f_84 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (85 / 288)	 Replicas: 256000
12:27 | 20220712/f_85 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (86 / 288)	 Replicas: 16000
12:30 | 20220712/f_86 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (87 / 288)	 Replicas: 16000
12:31 | 20220712/f_87 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (88 / 288)	 Replicas: 256000
12:50 | 20220712/f_88 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (89 / 288)	 Replicas: 4000
12:50 | 20220712/f_89 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (90 / 288)	 Replicas: 256000
13:32 | 20220712/f_90 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (91 / 288)	 Replicas: 8000
13:32 | 20220712/f_91 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (92 / 288)	 Replicas: 32000
13:35 | 20220712/f_92 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (93 / 288)	 Replicas: 16000
13:36 | 20220712/f_93 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (94 / 288)	 Replicas: 32000
