=== 20220321 06:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
12:44 | 0220321/f_119 |  512 |          0.7 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (120 / 176)	 Chunks: 8
12:56 | 0220321/f_120 |  512 |          0.8 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (121 / 176)	 Chunks: 13
13:16 | 0220321/f_121 |  512 |          0.8 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (122 / 176)	 Chunks: 15
13:39 | 0220321/f_122 |  512 |          0.8 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (123 / 176)	 Chunks: 11
13:57 | 0220321/f_123 |  512 |          0.8 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (124 / 176)	 Chunks: 14
14:18 | 0220321/f_124 |  512 |          0.9 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (125 / 176)	 Chunks: 7
14:28 | 0220321/f_125 |  512 |          0.9 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (126 / 176)	 Chunks: 3
14:33 | 0220321/f_126 |  512 |          0.9 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (127 / 176)	 Chunks: 10
14:49 | 0220321/f_127 |  512 |          0.9 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (128 / 176)	 Chunks: 15
15:11 | 0220321/f_128 |  512 |            1 |   1.2 |     512 |     0.001 | Disabled   | Dimers | Both | (129 / 176)	 Chunks: 2
15:14 | 0220321/f_129 |  512 |            1 |   1.2 |     512 |     0.001 | Disabled   | Linear trimers | Both | (130 / 176)	 Chunks: 2
15:17 | 0220321/f_130 |  512 |            1 |   1.2 |     512 |     0.001 | Disabled   | Trimers | Both | (131 / 176)	 Chunks: 2
15:20 | 0220321/f_131 |  512 |            1 |   1.2 |     512 |     0.001 | Disabled   | Squared | Both | (132 / 176)	 Chunks: 2
15:22 | 0220321/f_132 |  512 |            0 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (133 / 176)	 Chunks: 9
15:38 | 0220321/f_133 |  512 |            0 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (134 / 176)	 Chunks: 9
