=== 20220911 14:52 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
22:00 | 20220911/f_73 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (74 / 288)	 Replicas: 32000
22:05 | 20220911/f_74 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (75 / 288)	 Replicas: 8000
22:05 | 20220911/f_75 |  128 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (76 / 288)	 Replicas: 16000
22:06 | 20220911/f_76 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (77 / 288)	 Replicas: 64000
22:10 | 20220911/f_77 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (78 / 288)	 Replicas: 128000
22:27 | 20220911/f_78 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (79 / 288)	 Replicas: 64000
22:32 | 20220911/f_79 |  128 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (80 / 288)	 Replicas: 256000
22:44 | 20220911/f_80 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (81 / 288)	 Replicas: 256000
23:00 | 20220911/f_81 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (82 / 288)	 Replicas: 8000
23:01 | 20220911/f_82 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (83 / 288)	 Replicas: 8000
23:01 | 20220911/f_83 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (84 / 288)	 Replicas: 16000
23:02 | 20220911/f_84 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (85 / 288)	 Replicas: 16000
23:03 | 20220911/f_85 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (86 / 288)	 Replicas: 32000
23:07 | 20220911/f_86 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (87 / 288)	 Replicas: 256000
23:25 | 20220911/f_87 |  128 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (88 / 288)	 Replicas: 16000
23:26 | 20220911/f_88 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (89 / 288)	 Replicas: 64000
23:30 | 20220911/f_89 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (90 / 288)	 Replicas: 512000
00:40 | 20220911/f_90 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (91 / 288)	 Replicas: 32000
00:42 | 20220911/f_91 |  128 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (92 / 288)	 Replicas: 8000
00:42 | 20220911/f_92 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (93 / 288)	 Replicas: 16000
00:43 | 20220911/f_93 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (94 / 288)	 Replicas: 128000
