=== 20221024 20:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
20:35 | 0221024/f_188 |  128 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (71 / 288)	 Replicas: 1024000
21:55 | 0221024/f_189 |  128 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (72 / 288)	 Replicas: 1024000
22:48 | 0221024/f_190 |  128 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (73 / 288)	 Replicas: 1024000
00:12 | 0221024/f_193 |  128 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (74 / 288)	 Replicas: 1024000
03:50 | 0221024/f_198 |  128 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (75 / 288)	 Replicas: 1024000
05:22 | 0221024/f_202 |  128 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (76 / 288)	 Replicas: 1024000
06:21 | 0221024/f_203 |  128 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (77 / 288)	 Replicas: 1024000
07:41 | 0221024/f_204 |  128 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (78 / 288)	 Replicas: 1024000
11:09 | 0221024/f_211 |  128 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (79 / 288)	 Replicas: 1024000
12:36 | 0221024/f_217 |  128 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (80 / 288)	 Replicas: 128000
12:43 | 0221024/f_218 |  128 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (81 / 288)	 Replicas: 1024000
13:58 | 0221024/f_220 |  128 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (82 / 288)	 Replicas: 256000
14:45 | 0221024/f_221 |  128 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (83 / 288)	 Replicas: 1024000
