=== 20220304 19:16 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
06:26 |   20220305_32 |  128 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 32
06:31 |   20220305_33 |  128 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 89
06:51 |   20220305_34 |  128 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 72
07:00 |   20220305_35 |  256 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 30
07:17 |   20220305_36 |  256 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 94
08:11 |   20220305_37 |  256 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 84
09:23 |   20220305_38 |  256 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 73
09:58 |   20220305_39 |  256 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 94
10:50 |   20220305_40 |  256 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 47
11:16 |   20220305_41 |  256 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 24
11:36 |   20220305_42 |  256 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 63
12:06 |   20220305_43 |  256 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 86
12:52 |   20220305_44 |  256 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 102
13:47 |   20220305_45 |  256 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 58
14:34 |   20220305_46 |  256 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 158
15:52 |   20220305_47 |  256 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 69
16:31 |   20220305_48 |  256 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 52
17:01 |   20220305_49 |  256 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 45
17:40 |   20220305_50 |  256 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 33
17:56 |   20220305_51 |  256 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 71
18:36 |   20220305_52 |  256 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 97
19:31 |   20220305_53 |  256 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 97
20:54 |   20220305_54 |  256 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 74
21:30 |   20220305_55 |  256 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 90
22:19 |   20220305_56 |  256 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 149
23:42 |   20220305_57 |  256 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 18
23:56 |   20220305_58 |  256 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 64
00:27 |    20220306_0 |  256 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 111
01:30 |    20220306_1 |  256 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 34
01:50 |    20220306_2 |  256 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 34
02:20 |    20220306_3 |  256 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 145
03:31 |    20220306_4 |  256 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 57
04:03 |    20220306_5 |  256 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 39
04:25 |    20220306_6 |  256 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 95
05:47 |    20220306_7 |  256 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 93
06:32 |    20220306_8 |  256 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 29
06:48 |    20220306_9 |  256 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 74
07:29 |   20220306_10 |  256 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 66
08:24 |   20220306_11 |  256 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 41
08:43 |   20220306_12 |  256 |         0.05 |   1.6 |    1024 |     1e-05 | Disabled   | Dimers | Both | 


// Killed since it was taking too much time ( about 48h for run )
